english monograms,,cipher monograms,,english digrams,,cipher digrams,,english trigrams,,cipher trigrams,,english quadgrams,,cipher quadgrams
E,12.097,S,12.933,TH,2.706,JD,2.723,THE,1.814,JDS,1.731,TION,0.312,JCBG,0.397
T,8.938,Q,9.643,HE,2.329,DS,2.355,AND,0.725,QGW,0.766,NTHE,0.266,BXJD,0.341
A,8.552,J,8.508,IN,2.028,SN,1.929,ING,0.718,SQN,0.653,THER,0.242,UDQF,0.341
O,7.467,U,7.289,ER,1.784,SU,1.787,ENT,0.419,DSN,0.624,THAT,0.213,DQFS,0.341
I,7.325,B,6.977,AN,1.614,QN,1.532,ION,0.416,SNS,0.539,OFTH,0.193,QFSU,0.341
N,7.172,N,6.807,RE,1.409,NS,1.532,HER,0.357,DCU,0.539,FTHE,0.192,SUYS,0.341
S,6.728,C,6.438,ES,1.320,CG,1.504,FOR,0.344,JSN,0.454,THES,0.183,YSQN,0.341
R,6.333,G,6.438,ON,1.316,SW,1.475,THA,0.333,CGE,0.454,WITH,0.181,SQNS,0.341
H,4.956,D,5.956,ST,1.249,DQ,1.475,NTH,0.330,CBG,0.426,INTH,0.172,YDSN,0.312
L,4.206,Z,3.744,NT,1.173,SQ,1.362,INT,0.320,JDQ,0.426,ATIO,0.168,XJDS,0.312
D,3.871,V,3.687,EN,1.133,UJ,1.333,ERE,0.311,JCB,0.397,OTHE,0.163,FSUY,0.312
C,3.164,W,3.659,AT,1.116,JS,1.333,TIO,0.311,UDQ,0.397,TTHE,0.155,UYSQ,0.312
U,2.682,M,2.439,ED,1.079,QG,1.305,TER,0.299,SUY,0.397,DTHE,0.153,JDSN,0.255
M,2.526,Y,2.382,ND,1.068,BG,1.248,EST,0.280,SUQ,0.369,INGT,0.153,ZCYD,0.227
F,2.182,T,2.127,TO,1.066,JC,1.191,ERS,0.277,BXJ,0.369,ETHE,0.145,CYDS,0.227
G,2.086,X,2.014,OR,1.057,QJ,1.191,ATI,0.263,SWQ,0.369,SAND,0.142,JDSQ,0.227
P,2.066,K,1.900,EA,1.002,CU,1.078,HAT,0.255,SWC,0.369,STHE,0.136,WJDS,0.227
W,1.825,E,1.815,TI,0.992,GW,1.021,ATE,0.251,UYS,0.369,HERE,0.133,UZDB,0.227
Y,1.721,L,1.702,AR,0.979,QU,0.993,ALL,0.246,YSQ,0.369,THEC,0.129,ZQSU,0.199
B,1.605,A,1.560,TE,0.978,BX,0.993,ETH,0.241,QNS,0.369,MENT,0.118,QSUQ,0.199
V,1.059,F,0.794,NG,0.892,SG,0.993,HES,0.238,NJD,0.341,THEM,0.116,SUQN,0.199
K,0.809,I,0.539,AL,0.884,NQ,0.936,VER,0.238,XJD,0.341,RTHE,0.115,NJDS,0.199
J,0.220,O,0.340,IT,0.877,BN,0.908,HIS,0.235,DQF,0.341,THEP,0.106,GJDS,0.199
X,0.191,H,0.113,AS,0.874,GJ,0.908,OFT,0.221,QFS,0.341,FROM,0.103,BJDS,0.199
Z,0.114,R,0.113,IS,0.864,DC,0.794,ITH,0.214,FSU,0.341,THIS,0.103,QGWQ,0.199
Q,0.104,P,0.057,HA,0.832,WQ,0.766,FTH,0.211,YDS,0.312,TING,0.102,SWJD,0.199
